Crime, Location, Date

PORNOGRAPHY , 2304 Ivy Road,10-22-14

PORNOGRAPHY , 2304 Ivy Road,10-22-14

PROPERTY DAMAGE , 600 Massie Rd,10-22-14

MEDICAL ASSIST , 180 McCormick Rd,10-22-14

ACCIDENT , McCormick Rd &amp; Alderman Rd,10-22-14

ASSIST CITIZEN ,300 Block Whitehead Road,10-23-14

ASSIST CITIZEN ,215 Hereford Drive,10-24-14

PROPERTY DAMAGE ,1210 Lee Street,10-24-14

LARCENY ,1605 Jefferson Park Avenue,10-24-14

LARCENY ,179 Culbreth Road,10-24-14

Narcotics Violation,600 Block Rugby Road,10-25-14

FIREWORKS VIOLATION ,115 Madison Lane,10-25-14

ASSIST CITIZEN MEDICAL ,10 Bonnycastle Drive,10-25-14

PROPERTY FOUND , 417 S. Emmet Street,10-25-14

DIP ,1815 Stadium Road,10-25-14

LARCENY ,164 McCormick Road,10-25-14

MEDICAL ASSIST , 430 Treehouse Drive,10-25-14

VANDALISM ,1605 JPA Road,10-25-14

ASSIST CITIZEN MEDICAL ,435 Treehouse Drive,10-26-14

DIP ,233 McCormick Road,10-26-14

TRESPASS ,1826 University Avenue,10-26-14

PROPERTY DAMAGE ,1815 Stadium Road,10-26-14

ACCIDENT ,Bonny Castle Drive,10-26-14

LARCENY ,93 Amphitheater Way,10-26-14

MEDICAL ASSIST ,430 Treehouse Drive,10-26-14

ASSIST AGENCY ,117 11th Street S W,10-27-14

LARCENY , Lambeth Parking Lot,10-27-14

VANDALISM ,1105 W Main Street,10-27-14

FOUND PROPERTY ,20 South Lawn,10-27-14

COUNTERFEITING ,1815 Stadium Road,10-27-14

VANDALISM , Lambeth Parking Lot,10-27-14

ACCIDENT ,1210 Lee Street,10-28-14

ASSIST AGENCY , 1215 Lee Street,10-28-14

LOST PROPERTY ,1215 Lee Street,10-28-14

LARCENY , 600 Massie Road,10-28-14

LARCENY , 164 McCormick Road,10-29-14

DISORDERLY CONDUCT , 1215 Lee Street,10-29-14

FOUND PROPERTY , 400 S. Emmet Street,10-29-14

LARCENY , 1215 Lee Street,10-29-14

PROPERTY DAMAGE , 1215 Lee Street,10-29-14

WARRANT SERVICE , 1215 Lee Street,10-30-14

NARCOTIC VIOLATION , 1210 Lee Street,10-30-14

FOUND PROPERTY , 64 Lambeth Commons,10-30-14

SUSPICIOUS CIRCUMSTANCES , Gooch Dillard,10-31-14

DRIVE UNDER INFLUENCE ,"200 Block, Sprigg Lane",10-31-14

MEDICAL ASSIST ,440 McCormick Road,10-31-14

FIRE NOT ARSON ,2600 Block Fontaine Avenue,10-31-14

FOUND PROPERTY ,800 Alderman Road,10-31-14

ANNOYING PHONE CALLS ,2304 Ivy Road,10-31-14

ASSIST CITIZEN MEDICAL ,725 Alderman Road,-01-2014

ASSIST CITZEN MEDICAL ,774 Alderman Road,10-31-14

ASSIST CITIZWN MEDICAL ,291 McCormick Road,11-01-14

MEDICAL ASSIST , 151 Rugby Road,11-01-14

MEDICAL ASSIST , 115 Madison Lane, </span>

MEDICAL ASSIST , 440 McCormick Road,11-01-14

MEDICAL ASSIST , 203 Rugby Road,11-01-14

ASSAULT , 1517 University Avenue, 11-1-14

LARCENY/,215 Hereford Drive,-01-2014

WELFARE CHECK , 420 McCormick Road,11-01-14

VANDALISM , 170 Culbreth Road,11-01-14

LOST PROPERTY , 450 Whitehead Road,11-01-14

FIRE NOT ARSON , 201 Sprigg Lane,11-02-14

WARRANT SERVICE , 164 McCormick Road,11-02-14

PROPERTY DAMAGE , 156 Engineers Way,11-02-14

DRIVING UNDER THE INFLUENCE ,1200 West Main Street,11-03-14

SUSPICIOUS CIRCUMSTANCES ,2304 Ivy Road,11-03-14

LARCENY, 450 McCormick Road,11-03-14

ROPERTY DAMAGE ,583 Brandon Avenue,11-03-14

ASSIST AGENCY ,1215 Lee Street,11-03-14

TRAFFIC ACCIDENT ,Leake Drive and Alderman Road,11-04-14

LARCENY ,1215 Lee Street,11-04-14

TRAFFIC ACCIDENT , Copeley Road and Massie Road,11-04-14

SIMPLE ASSAULT ,1215 Lee Street,11-04-14

ASSIST AGENCY , 829 Buckler Drive,11-04-14

LARCENY ,1215 Lee Street,11-04-14

NARCOTIC OFFENSES ,200 Roosevelt Brown Blvd,11-05-14

LARCENY ,351 McCormick Road,11-05-14

TRAFFIC ACCIDENT , 2504 Stadium Road and Mimosa Drive,11-05-14

BREAKING AND ENTERING , 21 Hospital Drive,11-05-14

BREAKING AND ENTERING , 21 Hospital Drive,11-05-14

FRAUD-CREDIT/ATM,525 McCormick Road,11-05-14

LARCENY ,160 McCormick Road,11-05-14

LARCENY ,1015 Massie Road,11-05-14

SUICIDE ATTEMPT ,245 Hereford Drive,11-06-14

FRAUD ,149 Newcomb Road,11-06-14

DIP ,1500blk JPA,11-07-14

ASSIST CITIZEN ,914 Emmet St,11-07-14

VEHICLE CRASH ,409 McCormick Rd,11-07-14

BRAKING &amp; ENTERING ,84 Monroe Hill,11-07-14

DIP ,102 14th Street NW,11-08-14

POSSESION MARIJUANA ,400 Block S Emmett Street,11-08-14

LARCENY , 85 Engineers Way,11-08-14

THREATING PHONE CALLS ,580 Massie Rd,11-09-14

PROPERTY LOST ,2304 Ivy Rd,11-09-14

FOUND PROPERTY ,795 Alderman Road,11-10-14

FRAUD CREDIT CARD ,265 Hereford Drive,11-10-14

MEDICAL ASSIST ,505 Edgemont Road,11-10-14

LARCENY , 291 McCormick Road,11-11-14

SIMPLE ASSAULT ,1335 Lee Street,11-11-14

FOUND PROPERTY ,500 Block Leake Drive,11-11-14

PROPERTY DAMAGE ,1210 Lee Street,11-12-14

FOUND PROPERTY ,1 Bonnycastle Drive,11-12-14

ASSIST AGENCY ,1335 Lee Street,11-12-14

PROPERTY DAMAGE ,1210 Lee Street,11-13-14

PROPERTY DAMAGE ,600 Massie Rd,11-13-14

VEHICLE CRASH ,,11-13-14

MEDICAL ASSIST ,1605 Jefferson Park Avenue,11-13-14

LARCENY,117 11st SW,11-13-14

ASSIST AGENCY ,1335 Lee Street,11-13-14

DAILY REPORT # 2014,318,11-13-14

FIRE NOT ARSON ,1215 Lee Street,11-13-14

LARCENY FROM A BUILDING ,160 McCormick Rd,11-14-14

LOST PROPERTY , 1400 Wertland St,11-14-14

LOST PROPERTY ,160 McCormick Rd,11-14-14

ASSIST AGENCY, 1215 Lee St, </span>

ASSIST AGENCY ,1215 Lee St,11-14-14

MEDICAL ASSIST , 450 Whitehead Rd,11-14-14

DAILY REPORT # 2014,319,11-14-14

ASSIST CITIZEN MEDICAL ,555 McCormick Rd,11-15-14

ASSIST CITIZEN MEDICAL ,555 McCormick Rd,11-15-14

ASSIST CITIZEN MEDICAL ,15 Hancock Dr,11-15-14

FAKE ID ,McCormick Rd &amp; Hancock Dr,11-15-14

DIP, 1517 University Ave, </span>

ASSIST CITIZEN MEDICAL,432 McCormick Rd,11-15-14

LARCENY ,351 McCormick Rd,11-15-14

ASSIST AGENCY ,1215 Lee St,11-15-14

DAILY REPORT # 2014,320,11-15-14

DUI ,140 Emmet St N,11-16-14

ASSIST CITIZEN MEDICAL ,452 Lambeth Commons,11-16-14

LOST PROPERTY ,1215 Lee Street,11-16-14

SUSPICIOUS CIRCUMSTANCES , 1826 University Ave, </span>

DAILY REPORT # 2014,321, </span>

SUSPICIOUS CIRCUMSTANCES ,2871 Ivy Road,11-17-14

ASSIST AGENCY ,1215 Lee Street,11-17-14

HIT &amp; RUN , 90 Darden Blvd, </span>

ASSIST AGENCY ,1215 Lee Street,11-17-14

ASSIST CITIZEN ,432 McCormick Road,11-17-14

LARCENY ,160 McCormick Road,11-17-14

DAILY REPORT # 2014,322,11-17-14

TRESPASSING , 525 McCormick Road,11-18-14

FOUND PROPERTY , 1215 Lee Street,11-18-14

VANDALISM , 1210 Lee Street,11-18-14

ASSIST AGENCY , 1215 Lee Street,11-18-14

TRESPASS , 285 Peyton Court,11-18-14

DAILY REPORT # 2014,323,11-18-14

LARCENY , 525 McCormick Road,11-19-14

SUSPCIOUS CIRCUMSTANCE , 161 Rugby Road,11-19-14

VANDALISM , 225 Jeanette Lancaster Way,11-19-14

LARCENY , 160 McCormick Road,11-19-14

DAILY REPORT # 2014,324,11-19-14

MEDICAL ASSIST , 7 West Lawn,11-20-14

COUNTERFEITING , 295 Massie Road,11-20-14

PROPERTY DAMAGE , 1815 Stadium Road,11-20-14

DAILY REPORT # 2014,325,11-20-14

ANNOYING PHONE CALLS , 1204 West Main Street,11-21-14

LOST PROPERTY , 1101 Millmont Street,11-21-14

VANDALISM , 1900 Carrs Hill Road,11-21-14

LARCENY , 62 Monroe Hill,11-21-14

SUSPICIOUS CIRCUMSTANCE , 190 McCormick Road,11-21-14

LARCENY FROM BUILDING , 160 McCormick Road,11-21-14

VEHICLE CRASH , 1100 Block Millmont Street,11-21-14

VANDALISM , 190 McCormick Road,11-21-14

DRUG VIOLATION , 616 West Main St.,11-22-14

DAILY REPORT # 2014,326,11-22-14

VANDALISM , 190 McCormick Road,11-22-14

PROPERTY FOUND , 100 Block McCormick Road,11-22-14

MEDICAL ASSIST, 435 Treehouse Drive,11-22-14

DIP , 1815 Stadium Road,11-22-14

MEDICAL ASSIST , 794 Alderman Road,11-22-14

DIP , 1815 Stadium Road,11-22-14

COUNTERFEIT ID/UNDERAGE POSSESSION , 1815 Stadium Road,11-22-14

ASSAULT SIMPLE , 1815 Stadium Road,11-23-14

FOUND PROPERTY , 575 Alderman Road,11-22-14

MEDICAL ASSIST , 435 Treehouse Drive,11-23-14

DAILY REPORT # 2014,327,11-23-14

ASSIST CITIZEN MEDICAL, 571 McCormick Road,11-23-14

TRESPASS , 145 McCormick Road,11-23-14

SUSPICIOUS CIRCUMSTANCES , 190 McCormick Road,11-23-14

DUI , 106 Montebello Circle,11-23-14

DIP , 1215 Lee St,11-23-14

DAILY REPORT # 2014,328,11-23-14

TRESPASS , 155 Rugby Road,11-24-14

DAILY REPORT # 2014,329,11-24-14

HIT AND RUN ,580 Massie Road,11-25-14

SUSPICIOUS ,190 McCormick Road,11-25-14

LARCENY ,150 Engineers Way,n>OCC: 1

SUSPICIOUS CIRCUMSTANCE ,485 McCormick Road,11-25-14

SUSPICIOUS CIRCUMSTANCES ,400 Ray C Hunt,11-25-14

DAILY REPORT # 2014,330,11-25-14

WIRE FRAUD , 1215 Lee Street,11-25-14

DIP , 1218 Lee St,11-26-14

DAILY REPORT # 2014,331,11-26-14

LARCENY , 1215 Lee Street,11-27-14

DAILY REPORT # 2014,332,11-27-14

DAILY REPORT # 2014,333,11-27-14

DUI , 1509 West Main Street,11-29-14

FOUND PROPERTY , 2000 Stadium Road,11-29-14

ASSIST CITIZEN , 400  Block of Lane Road,11-30-14

VANDALISM , 774 Alderman Road,11-30-14

LOST PROPERTY , 435 Treehouse Drive,11-30-14

THREATENING PHONE CALL, 1215 Lee St,12-01-14

LARCENY, 1550 Jefferson Park Ave.,12-01-14

COUNTERFEITING , 295 Massie Road,12-02-14

LARCENY, 1215 Lee Street,12-02-14

MOTOR VEHICLE THEFT/PROPERTY DAMAGE, 1215 Lee Street,12-02-14

NARCOTICS VIOLATION , 200 S. Emmet Street,12-03-14

ASSIST MENTAL, 1215 Lee Street,12-03-14

BURGLARY ,160 McCormick Road,12-04-14

SUSPICIOUS CIRCUMSTANCES ,1900 Carrs Hill Road,12-04-14

VANDALISM ,200 Jeanette Lancaster Way,12-04-14

FOUND PROPERTY ,1215 Lee Street,12-04-14

LARCENY ,400 Emmett Street South,12-04-14

DUI , 1619 University Avenue,12-05-14

ASSIST CITIZEN , 82 Monroe Hill,12-05-14

MOTOR VEHICLE CRASH , 500 Copeley Road,12-05-14

LARCENY , 600 McCormick Road,12-05-14

FOUND PROPERTY , 1215 Lee Street,12-05-14

ASSIST CITIZEN , 571 McCormick Road,12-05-14

ASSIST CITIZEN , 508 Floyd Drive,12-06-14

NARCOTICS VIOLATION , 1000 Millmont Street,12-06-14

FOUND PROPERTY , 409 McCormick Road,12-06-14

LARCENY , 1702 University Avenue,12-06-14

FAMILY OFFENSE , 290 Massie Road,12-06-14

DIP ,1709 University Avenue,12-07-14

DUI ,1200 block Jefferson Park Avenue,12-08-14

SUSPICIOUS CIRCUMSTANCE ,117 11th Street,12-08-14

LARCENY ,1340 Jefferson Park Avenue,12-08-14

FRAUD , CREDIT CARD -525 McCormick Road,12-08-14

AUTO ACCIDENT ,400 Whitehead Rd,12-09-14

SUSPICIOUS CIRCUMSTANCE ,128 Amphitheater Way,12-09-14

LARCENY ,160 McCormick Rd,12-09-14

ASSIST AGENCY ,1215 Lee Street,12-09-14

DIP/TRESPASS , 1215 Lee St,12-10-14

BREAKING &amp; ENTERING ,1309 Jefferson Park Avenue,12-10-14

ASSIST CITIZEN MEDICAL , 400 Brandon Avenue,12-10-14

NARCOTIC VIOLATION , 164 McCormick Road,12-10-14

HIT AND RUN , 1210 Lee Street,12-10-14

DIP, 1400 Block University Ave,12-11-14

DIP ,164 McCormick Rd,12-11-14

DISORDERLY CONDUCT , 136 University Gardens,12-11-14

SUSPICIOUS CIRCUMSTANCES , 1815 Stadium Road,12-11-14

ASSIST OTHER AGENCY ,575 Alderman Rd,12-11-14

FRAUD ,180 McCormick Road,12-11-14

LARCENY ,151 Engineers Way,12-11-14

DRIVING SUSPENDED, 1900 Block University Ave,12-12-14

LARCENY ,1215 Lee St,12-12-14

LARCENY ,1215 Lee St,12-12-14

FRAUD , 475 Seymour Road,12-12-14

CREDIT CARD FRAUD,525 McCormick Road,12-12-14

PROPERTY LOST,409 McCormick Road,12-12-14

DIP,124 11th Street SW,12-12-14

TRESPASS,145 McCormick Rd,12-12-14

FOUND PROPERTY , 2304 Ivy Road,12-13-14

ASSIST MEDICAL , 621 Balz Dobie,12-13-14

POSSESS FALSE OPERATOR LICENSE , 1900 University Ave.,12-14-14

DUI , 1400 Gordon Avenue,12-14-14

LARCENY , 475 Lambeth,12-14-14

ASSIST AGENCY , 1215 Lee Street,12-14-14

PROPERTY DAMAGE , Rotunda Drive,12-14-14

VEHICLE CRASH , 400 Block of Pratt Drive,12-15-14

LARCENY , 40 South Lawn,12-15-14

DAMAGED PROPERTY ,405 Emmett Street South,12-15-14

ASSIST CITIZEN ,1215 Lee Street,12-15-14

HIT &amp; RUN ,1210 Lee Street,12-15-14

ASSIST CITIZEN - MEDICAL , 20 Bonnycastle Drive,12-16-14

DISORDERLY CONDUCT , 1215 Lee Street,12-16-14

ANIMAL BITE , 1215 Lee Street,12-16-14

EMBEZZLEMENT , 580 Massie Road,12-16-14

SUSPICIOUS PERSON , 5 West Pavillion,12-16-14

ASSIST WARRANT , 1215 Lee Street,12-16-14

DIP , 11th Street Parking Garage,12-17-14

FOUND PROPERTY , 1215 Lee Street,12-16-14

DOA , 583 Brandon Avenue,12-17-14

PROPERTY DAMAGE , 1955 Ivy Road,12-17-17

ACCIDENT , Lane Road,12-17-14

LARCENY , 500 Massie Road,12-18-14

DIP , 1215 Lee Street,12-18-14

SUSPICIOUS CIRCUMSTANCES , 1827 University Ave,12-19-14

SUSPICIOUS CIRCUMSTANCE , 130 Chemistry Dr,12-19-14

Medical AssistL, 2474 Old Ivy Rd,12-19-14

LOST PROPERTY ,1210 Lee Street,12-20-14

DAILY REPORT # 2014,355,12-20-14

WARRANT SERVICE , 616 West Main Street,12-21-14

NARCOTIC VIOLATION ,500 West Main St,12-21-14

PROPERTY DAMAGE , 300 Massie Rd,12-21-14

DAILY REPORT # 2014,356,12-21-14

LOST PROPERTY ,450 Whitehead Road,12-22-14

DAILY REPORT # 2014,357,12-22-14

FOUND PROPERTY ,1215 Lee Street,12-23-14

DAILY REPORT # 2014,358,12-23-14

LOST PROPERTY ,1415 Jefferson Park Ave,12-24-14

ASSIST AGENCY ,1215 Lee Street,12-24-14

DAILY REPORT # 2014,359,12-24-14

,12/25/2014,12-24-14

DAILY REPORT # 2014,360,12-24-14

TOWED VEHICLE ,1210 Lee St,12-26-14

DAILY REPORT # 2014,361,12-26-14

DISORDERLY CONDUCT ,100 14th Street NW,12-27-14

DRUNKENNESS , 1327 West Main Street,12-27-14

HIT AND RUN ,Jefferson Park Avenue/Lane Road,12-27-14

DAILY REPORT # 2014,362,12-27-14

MEDICAL ASSIST ,201 Cabell Drive,12-28-14

DIP , 1215 Lee St,12-28-14

DAILY REPORT # 2014,363,12-28-14

SIMPLE ASSAULT ,1215 Lee Street,12-29-14

DAILY REPORT # 2014,364,12-29-14

LOST PROPERTY ,1215 Lee Street,12-30-14

LARCENY ,1215 Lee Street,12-30-14

DAILY REPORT # 2014,365,12-30-14

GAS LEAK ,McCormick &amp; Hancock Drive,12-31-14

LARCENY, 1215 Lee Street,12-31-14

DIP,100 Buckingham Road,1-1-2015

LIQUOR LAW VIOLATION,1200 Jefferson Park Avenue,1-1-2015

HIT &amp; RUN,30 Hospital Drive		NO PI,1-1-2015

MOTOR VEHICLE CRASH,1137 Millmont Street  NO PI,1-1-2015

THREATENING PHONE CALLS,1215 Lee Street,1-1-2015

DRIVING UNDER THE INFLUENCE,2037 Barracks Road		          	2,1-2-2015

PROPERTYFOUND/RECOVERED,2304 Ivy Road			          	2,1-2-2015

VANDALISM,6 East Pavilion				          		2,1-3-2015

FOUND PROPERTY,400 Block South Emmet Street	   				2,1-4-2015

FOUND PROPERTY,351 McCormick Road,1-5-2015

DUI,1000 Block W. Main Street,1-6-2015

SIMPLE ASSAULT,1215 Lee Street,1-6-2015

PROPERTY DAMAGE,575 Alderman Road,1-6-2015

SIMPLE ASSAULT,1117 11th Street,1-6-2015

DISORDERLY CONDUCT,1335 Lee Street,1-6-2015

VANDALISM,141 Cabell Drive,1-7-2015

PROPERTY DAMAGE,600 Massie Road,1-7-2015

TRAFFIC ACCIDENT,380 Crispell Drive,1-8-2015

TRAFFIC ACCIDENT,1215 Lee Street,1-8-2015

VANDALISM,1335 Lee Street,1-8-2015

ASSIST AGENCY/WARRANT SERVICE,1215 Lee Street,1-9-2015

LARCENY,1215 Lee Street,1-9-2015

LARCENY,160 McCormick Road,1-9-2015

ASSIST CITIZEN  MEDICAL,300 Block McCormick Road,1-11-2015

ASSIST CITIZEN,2463 Emmett Street,1-11-2015

LIQUOR LAW VIOLATION,100 McCormick Road,1-12-2015

LIQUOR LAW VIOLATION,1407 University Avenue,1-12-2015

ASSIST CITIZEN,380 Crispell Drive,1-12-2015

ASSIST CITIZEN,117 11th Street SW,1-12-2015

LARCENY,318 McCormick Road,1-12-2015

LARCENY,450 Whitehead Road,1-12-2015

DIP,14th Street at Wertland Street,1-14-2015

DIP,1700 University Avenue,1-14-2015

DIP,1700 University Avenue,1-14-2015

FIRES NOT ARSON,480 Birdwood Drive,1-14-2015

CHILD PORNOGRAPHY,108 Cresap,1-14-2015

SUSPICIOUS CIRCUMSTANCES,1215 Lee Street,1-14-2015

SUSPICIOUS CIRCUMSTANCES,1215 Lee Street,1-14-2015

LARCENY,1204 West Main Street,1-14-2015

DIP,105 Emmett Street North,1-15-2015

COUNTERFEIT MONEY,295 Massie Road,1-15-2015

PROPERTY DAMAGE,1001 Emmett Street,1-15-2015

B &amp; E,485 McCormick Road,1-15-2015

SUSPICIOUS CIRCUMSTANCE,400 Emmett Street,1-15-2015

SIMPLEASSAULT,10 Bonnycastle Drive,1-15-2015

ASSIST MEDICAL,265 Hereford Drive					   	2,1-17-2015

ASSIST MEDICAL,20 Bonnycastle Drive				         	2,1-17-2015

LARCENY (THEFT),9 West Pavilion 					      	2,1-17-2015

PROPERTY DAMAGE,300 Massie Road				        	2,1-17-2015

PROPERTY LOST,1210 Lee Street					          	2,1-17-2015

DIP,295 Massie Road							    	2,1-17-2015

ASSIST MEDICAL,561 McCormick Road,1-18-2015

ASSIST CITIZENMENTAL,209 Sprigg Lane,1-18-2015

DIP,1300 Block of Wertland Street,1-18-2015

DISORDERLY CONDUCT,946 Grady Avenue,1-18-2015

ASSIST AGENCY,946 Grady Avenue,1-18-2015

LARCENY,117 11th Street SW,1-18-2015

SUSPICIOUS CIRCUMSTANCES,1215 Lee Street,1-18-2015

DAMAGED PROPERTY,117 11th Street,1-18-2015

LOST PROPERTY,295 Massie Road,1-18-2015

ASSIST CITIZEN MEDICAL,1222 Jefferson Park Avenue,1-18-2015

LARCENY,1210 Lee Street,1-18-2015

ASSIST CITIZEN,108 Emmet Street North,1-19-2015

ASSIST AGENCY,1215 Lee Street,1-19-2015

PROPERTY DAMAGE,555 McCormick Road,1-19-2015

TRESPASS,1350 Jefferson Park Avenue,1-19-2015

ASSIST CITIZEN,396 McCormick Road,1-20-2015

CHILD PORNOGRAPHY,2304 Ivy Road,1-20-2015

LOST PROPERTY,382 McCormick Road,1-20-2015

ASSAULT,295 Massie Road,1-20-2015

MEDICAL ASSIST,579 McCormick Road,1-21-2015

ANNOYING PHONE CALLS,203 Sprigg Lane,1-21-2015

VANDALISM,20 Bonnycastle Drive,1-21-2015

HAZMAT CALL,1215 Lee Street,1-21-2015

SUSPICIOUS PERSON,479 Copeley Road,1-21-2015

MOTOR VEHICLE CRASH,450 Whitehead Road,1-22-2015

LARCENY,1400 University Avenue,1-22-2015

LOST PROPERTY,1315 Lee Street,1-22-2015

THEFT FROM VEHICLE,1210 Lee Street,1-22-2015

MEDICAL ASSIST,30 Bonny Castle Drive,1-23-2015

ASSIST CTIZENMEDICAL,500 Block McCormick Road,1-23-2015

PROPERTY FOUND/RECOVERED,200 Herford Drive,1-23-2015

HIT &amp; RUN,1210Lee Street,1-23-2015

DISORDERLY CONDUCT/OBSTRUCTION,900 W. Main St,1-24-2015

MEDICAL ASSIST,579 McCormick Rd,1-24-2015

DUI,1200 W. Main St,1-24-2015

MEDICAL ASSIST,450 Treehouse Dr.,1-24-2015

MEDICAL ASSIST,432 McCormick Rd,1-24-2015

LARCENY,1215 Lee St,1-24-2015

LARCENY,164 McCormick Rd,1-24-2015

LARCENY,117 11th Street SW,1-25-2015

DIP,1826 University Avenue,1-25-2015

ASSIST CITIZENMEDICAL,30 Bonnie Castle Drive,1-25-2015

ASSIST CITIZENMEDICAL,450 McCormick Road,1-25-2015

LARCENY,117 11th St								2,1-25-2015

ASSIST CITIZENMEDICAL,203 Whyburn House					2,1-25-2015

FIRE  NOT ARSON,1240 Lee Street						2,1-25-2015

ASSIST CITIZENMEDICAL,525 McCormick Road					2,1-25-2015

ASSIST AGENCY,195 Vaughan Drive					 	2,1-25-2015

DISORDERLY CONDUCT,1215 Lee Street						2,1-25-2015

ASSIST AGENCY,1215 Lee Street							2,1-25-2015

NARCOTICS VIOLATION,117 11th Street SW,1-26-2015

SUSPICIOUS CIRCUMSTANCES,102 Amphitheater Way,1-26-2015

EMBEZZLEMENT,970 Hilton Heights Road,1-26-2015

FRAUD,435 Treehouse Drive,1-26-2015

ASSIST CITIZEN,450 McCormick Road,1-27-2015

ASSIST CITIZEN,20 Bonnycastle Drive,1-27-2015

ASSIST AGENCY,312 13th Street NW,1-27-2015

SUSPICIOUS CIRCUMSTANCES,101 Hospital Drive,1-27-2015

PROPERTY DAMAGE,600 Alderman Road,1-27-2015

ASSIST CITIZEN,73 Lambeth Commons,1-27-2015

ASSIST CITIZEN,10 Bonnycastle Drive,1-27-2015

VANDALISM,40 South Lawn,1-28-2015

DIP,565 McCormick Road,1-29-2015

ASSIST CITIZEN,420 McCormick Road,1-29-2015

LOST PROPERTY,265 Hereford Drive,1-29-2015

SUSPICIOUS CIRCUMSTANCES,290 Massie Road,1-29-2015

ASSIST CITZEN,450 Treehouse Drive,1-29-2015

WARRANT SERVICE,1215 Lee Street,1-29-2015

FRAUD BY IMPERSONATION,400 Brandon Avenue,1-29-2015

ASSAULT,1215 Lee Street,1-29-2015

MEDICAL ASSIST,473 Lambeth Field,1-30-2015

FOUND PROPERTY,90 Darden Blvd,1-30-2015

DIP/UNDERAGE POSSESSION,295 Massie Rd,1-30-2015

DIP,1540 Jefferson Park Avenue,2-1-2015

MEDICAL ASSIST,579 McCormick Road,2-1-2015

MEDICAL ASSIST,322 Lile Maupin,2-1-2015

DUI,1800 Jefferson Park Avenue,2-1-2015

HIT AND RUN,100 Block Hospital Drive		NO PI,2-1-2015

ASSIST AGENCY,117 11th Street,2-2-2015

WARRANT SERVICE,2304 Ivy Road,2-2-2015

DUI,100 Block Emmet Street,2-3-2015

TRAFFIC ACCIDENT,380 Crispell Drive,2-4-2015

TRAFFIC ACCIDENT,450 McCormick Road,2-4-2015

WARRANT SERVICE,1215 Lee Street,2-5-2015

TRAFFIC ACCIDENT,1101 Millmont Street,2-5-2015

PHONE CALLS  THREATENING OBSCENE,1335 Lee Street,2-5-2015

VANDALISM,430 Tree House Drive,2-5-2015

FOUND PROPERTY,1215 Lee Street,2-6-2015

LARCENY,1814 Stadium Road,2-6-2015

HIT AND RUN,1210 Lee Street,2-6-2015

LOST PROPERTY,1215 Lee Street,2-6-2015

FAMILY ABUSE,180 McCormick Road,2-6-2015

DUI,2175 Ivy Road,2-7-2015

FRAUD BY IMPERSONATION,291 McCormick Road,2-7-2015

LARCENY,2304 Ivy Road,2-7-2015

LIQUOR LAW VIOLATION/FALSE ID,100 Chancellor Street,2-8-2015

DUI/NARCOTICS VIOLATION,2212 Ivy Road,2-8-2015

ASSIST CITIZEN,561 McCormick Road,2-8-2015

LARCENYFROM VEHICLE,1210 Lee Street,2-8-2015

DAMAGED PROPERTY,173 Culbreth Road,2-8-2015

TRAFFIC ACCIDENT,1101 Milmont Street,2-9-2015

DOMESTIC,1204 Jefferson Park Avenue,2-9-2015

TRAFFIC ACCIDENT/PROPERTY DAMAGE,211 Emmet St S,2-9-2015

BREAKING &amp; ENTERING,382 McCormick Road,2-9-2015

HIT AND RUN,2009 Stadium Road	NO PI,2-9-2015

LIQUOR LAW VIOLATION,1815 Stadium Road,2-10-2015

DUI/REFUSAL,16TH St &amp; Gordon Ave,2-10-2015

WARRANT SERVICE,160 Madison Lane,2-10-2015

PROPERTY DAMAGE,575 Alderman Road,2-10-2015

ASSIST CITIZEN MEDICAL,450 Whitehead Road,2-10-2015

FOUND PROPERTY,21 Hospital Drive,2-10-2015

TRAFFICHIT AND RUN,100 Block Hospital Drive,2-11-2015

DIP,1400 Block of University Avenue,2-11-2015

DUI,"200 Block, Shamrock Road",2-11-2015

DIP,85 Engineer Way,2-11-2015

SUSPICIOUS CIRCUMSTANCE,1204 West Main Street,2-11-2015

TRAFFICACCIDENT,295 Massie Road,2-12-2015

VANDALISM,164 McCormick Road,2-12-2015

DIP,400 South Emmet Street,2-13-2015

DIP,1900 University Avenue,2-13-2015

FOUND PROPERTY,1335 Lee Street,2-13-2015

HIT &amp; RUN,1815 Stadium Road,2-13-2015

ASSIST CITIZEN,430 Tree House Drive,2-13-2015

DAMAGED PROPERTY,1215 Lee Street,2-14-2015

